,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
6926430057246280453,05/04/21,Моя голова винтом,✨Мᴀᴩᴦᴏ✌🏻,False,9,,0,907300,6831977581227820038,atiragram0,✨Мᴀᴩᴦᴏ✌🏻,1590665166,False,MS4wLjABAAAARkTg_VBgGG8zOtB5Hg6kM_1GMbQAyUk4W2Zh8jTAwKoiIRbRVaCBcT4zqfA_PlmS,0,False,0,0,0,False
6956939305335933701,05/04/21,suono originale,Khabane lame,False,23,,0,1185,127905465618821121,khaby.lame,Khabane lame,1470866554,True,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,0,False,0,0,0,False
6945541245435381761,05/04/21,deja vu,Olivia Rodrigo,False,45,deja vu,0,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6840149587802475270,05/04/21,sonido original,George-G,False,8,,0,1247,6688417872773334022,georgegoficial,George-G,1557268715,False,MS4wLjABAAAAA2cWxfdWEksKckQBHCRMG0ikvCh961mNxfcxPe-Hy_ViMi47nOzdehtY-lUZpoKk,0,False,0,0,0,False
6757872491160406017,05/04/21,Teach Me How To Dougie,Classics Reborn,False,30,Teach Me How To Dougie,0,1800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6777331815179880449,05/04/21,Paper Birds (3 min),Jordan Halpern Schwartz,False,192,,0,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6925040330622454533,05/04/21,insane in the brain,☆︎,False,11,,0,106000,6891777839314682885,ghostoid,☆︎,1604617197,False,MS4wLjABAAAALs1MaL84rDnvPRIPaKEzxYkok29qO4TCQYgUDP3Bv9Bv4Ap02rywEv9QIlGrI1F8,0,False,0,0,0,False
6792383076640082693,05/04/21,suono originale,✨ I don't have motivation✨,False,8,,0,68900,6726914132917208069,_..cl4wn.._,✨ I don't have motivation✨,1567696933,False,MS4wLjABAAAAurQHckjIp9cy7Qgo1Z9zS492qCP1UtCM41bT6jvuJT3AJNpaNDs0rjEINHq1BsiJ,0,False,0,0,0,False
6897097414797166594,05/04/21,Body,Megan Thee Stallion,False,60,Good News,0,1600000,6748929703376536581,theestallion,Megan Thee Stallion,1571358379,True,MS4wLjABAAAA_uxT8W-lPWnJwUoLQ8v1XUDdpR3SIdz_XYfcHEhK9K2ai6pyovpIvfSqZpyAIskO,0,False,0,0,0,False
6885449331428558861,05/04/21,"Jump in the Line (Shake, Senora)",Harry Belafonte,False,219,,0,12300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6735757810719541250,05/04/21,San Andreas (Radio Edit),Groove Delight,False,30,San Andreas,0,197900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6869085650457578245,05/04/21,Goodbye to a world,animacionesmax,False,39,,0,182400,6784773344904643590,maxanimaciones,animacionesmax,1582312919,False,MS4wLjABAAAAhB2KoM3M8VNuLOtDJfA5DRk6B-xilYtK02MBD3P7Ysg7O6pQ1ruuJfCQLeSbn4PH,0,False,0,1,1,False
6958070791791561477,05/04/21,suono originale,Khabane lame,False,20,,0,1561,127905465618821121,khaby.lame,Khabane lame,1470866554,True,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,0,False,0,0,0,False
6948491792060926726,05/04/21,shut the fu pls dont talk,tay🕴🏽,False,17,,0,162200,17925795,thebiggestblrd,tay🕴🏽,1448590008,False,MS4wLjABAAAA8IVImAlLIc4X6V_0ge5ULQUdekUnEsBT7Ec9EwTob80,0,False,0,0,0,False
6697850833603660550,05/04/21,Press,Cardi B,False,32,Press,0,297400,313520613518753792,iamcardib,Cardi B,1515091866,True,MS4wLjABAAAAFg2m8gH-rNBrv_6YcFiNUJjeOniHIbIk5rxv5qea9SuNDca39mblsXvBzYQq3EQP,0,False,0,0,0,False
6943101027860155141,05/04/21,McDonalds Ice Cream Machine,Dame,False,31,,0,34000,6717440778589815813,damedamian,Dame,1565149304,True,MS4wLjABAAAAZZZDR5FHUONpivtkJK5UPwaZrU4qA6P4rY9f2HdB2qdYkecJRi9m2jwRR3bNpYRI,0,False,0,0,0,False
6953457140472252418,05/04/21,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne & Russ Millions,False,60,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",0,36700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6947333417029733126,05/04/21,talking to the moon sickmix,Sickickmusic,False,18,,0,2100000,128272972192137216,sickickmusic,Sickickmusic,1470925375,False,MS4wLjABAAAAF6dbwUOmv4FjbQA12agiWrKl4QHbdyEfD5hA2fIqprUvKn97_TM25OoGJiGiXn1N,0,False,0,0,0,False
6957703071635999490,05/04/21,오리지널 사운드 - 원정맨 WonJeong,원정맨 WonJeong,False,12,,0,18900,6869286989888406529,ox_zung,원정맨 WonJeong,1599380729,True,MS4wLjABAAAAA3l9TD8oUjg-xkY7IzsZhJzfq97vCBvWjgjeadSIGy7hk9b-nAIstNXkOWYTa-Ts,0,False,0,0,0,False
6732316825280841730,05/04/21,Vibe (If I Back It Up),Cookiee Kawaii,False,60,Vibe,0,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6800370585814697986,05/04/21,Intentions (Instrumental Version) [Originally Performed by Justin Bieber & Quavo],Elliot Van Coup,False,60,Blast Thru Hits vol 3,0,160200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000000001472498199,05/04/21,My Chick Bad - Album Version (Explicit),Ludacris,False,30,Battle Of The Sexes,0,448200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6834975092238190594,05/04/21,Day 'n' Nite,Kid Cudi,False,30,Watch Dogs (Music from the Video Game) [Original Game Soundtrack],0,447100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948521578766371590,05/04/21,Levitating,Dua Lipa,False,13,Levitating,0,1400000,170447429077598208,dualipaofficial,Dua Lipa,1481009400,True,MS4wLjABAAAAJypGod6uEG7eZnTAFQAJCxESeCTznEI8o4tYcRggKlzBZSedv00sXBxqHlYCc2mI,0,False,0,0,0,False
6796126109965502465,05/04/21,You Got It,Vedo,False,60,You Got It,0,9300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6940308382867835654,05/04/21,sonido original,Oscar Hernandez,False,46,,0,861,6803436171504927750,oscarhp173,Oscar Hernandez,1587572402,False,MS4wLjABAAAApZbA59RhyP2WXTBAJeGVyL-rcSqOwn-vRjC7ZJ3nt0M8DZLD2nik9zt_IUnbv7fD,0,False,0,0,0,False
6957309029743971078,05/04/21,suono originale,Khabane lame,False,10,,0,952,127905465618821121,khaby.lame,Khabane lame,1470866554,True,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,0,False,0,0,0,False
6837654631623968769,05/04/21,Track Star,Mooski,False,45,Track Star,0,976800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6937044728353426177,05/04/21,original sound - MooooBub,MooooBub,False,12,,0,13300,6906252572858287105,urmoo0,MooooBub,1607987525,False,MS4wLjABAAAAnmc4vn8lkRO7Y4hukXWdSAY0tyNQPA4_Few3pgfwhlCHDLVhoq6B04RF_5bRQ3Kg,0,False,0,0,1,False
6769046027488987137,05/04/21,FEEL THE GROOVE,"Queens Road, Fabian Graetz",False,112,,0,396700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6903562944160729090,05/04/21,WHOLE LOTTA MONEY,bia,False,30,FOR CERTAIN,0,97300,6731241144343643142,bia,bia,1567239717,True,MS4wLjABAAAAkj7shrZKB_aUX-2A_7pEoMy0JZJGkTaW4lbdwiFtqg-2zXpu6ci8uHNwvDI143xu,0,False,0,0,0,False
6946377638868962054,05/04/21,Follow me song is Too much FYOTP YT,🦈,False,11,,0,812300,17722405,jodymyjody_,🦈,1448500064,False,MS4wLjABAAAA5zOxB9juqP5dy4RWkrw3Ya66JEApe_1rI1N5pHekAug,0,False,0,0,0,False
6942551356402042881,05/04/21,MONTERO (Call Me By Your Name),Lil Nas X,False,30,MONTERO (Call Me By Your Name),0,1400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6774219700038535170,05/04/21,SAVE ME,Ben Garlock,False,169,,0,4459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948074928969091845,05/04/21,Peaches sickmix,Sickickmusic,False,26,,0,30300,128272972192137216,sickickmusic,Sickickmusic,1470925375,False,MS4wLjABAAAAF6dbwUOmv4FjbQA12agiWrKl4QHbdyEfD5hA2fIqprUvKn97_TM25OoGJiGiXn1N,0,False,0,0,0,False
6914409440376539138,05/04/21,"Gravity (feat. Tyler, The Creator)",Brent Faiyaz & DJ Dahi,False,60,"Gravity (feat. Tyler, The Creator)",0,518800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6728028236460165894,05/04/21,Wolves,Kanye West,False,10,The Life Of Pablo,0,120700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6925658290315593729,05/04/21,Up,Cardi B,False,60,Up,0,2100000,313520613518753792,iamcardib,Cardi B,1515091866,True,MS4wLjABAAAAFg2m8gH-rNBrv_6YcFiNUJjeOniHIbIk5rxv5qea9SuNDca39mblsXvBzYQq3EQP,0,False,0,0,0,False
6957703191756671750,05/04/21,suono originale,Khabane lame,False,26,,0,2123,127905465618821121,khaby.lame,Khabane lame,1470866554,True,MS4wLjABAAAAwAg0rSzO65WQfz4RzQgGv2Xdv108BgPXhRrrmNVIHQZ9PO8-flwwRtEppYTS0OjA,0,False,0,0,0,False
6746993352891189249,05/04/21,Monkeys Spinning Monkeys,Kevin MacLeod,False,60,Monkeys Spinning Monkeys,0,8100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6943721678425819137,05/04/21,Hog Eye,Storm Weather Shanty Choir,False,30,Hog Eye,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6689104652375509765,05/04/21,The Git Up,Blanco Brown,False,15,Honeysuckle & Lightning Bugs,0,2000000,6680021391121482757,blancobrown,Blanco Brown,1555680746,True,MS4wLjABAAAAKYFWNwOKGaMygRTB_SZ6HxobJQ8GamxaFjMBH8uyEn24ysyr-Q2jETsaC9wbeR-u,0,False,0,0,0,False
6834655294212131590,05/04/21,sonido original,Mortifero Guiira 🔥,False,9,,0,530800,6778540247337714694,mortifero_rikiguiira,Mortifero Guiira 🔥,1578252127,False,MS4wLjABAAAA02HQmYyY_Fy3tJMnaONjDxlz2sO3PrTRybZ8kEF5XDRNm3eHX4VDsmcZyauyRGcB,0,False,0,0,0,False
6897433139871042306,05/04/21,Tokyo,Leat'eq,False,13,Tokyo,0,2000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936295195063503621,05/04/21,Baby Pew pew pew,lizzie.rpx,False,8,,0,1100000,6565568093640441857,lizzie.rpx,lizzie.rpx,1539376117,False,MS4wLjABAAAA4Ln8Wjj-qcNFMLto4h9jadesG-8gRTlCKR3L_trdcjdPRMeZiZPeGbXmA8NMgHA5,0,False,0,1,1,False
6956984537494719238,05/04/21,оригинальный звук,I am Serhii,False,16,,0,48,6694702788004480005,h.serhii,I am Serhii,1558703384,False,MS4wLjABAAAAxIRhhPVSt8ksu_CO9pNHPYYKMR9GLwmK3Z57NIBtJzzfz7s9SlPhQNMcXGznaGcy,0,False,0,0,0,False
6859320727460465414,05/04/21,People used my sound Question Mark,hi,False,54,,0,36600,6773467656475542533,aeirein,hi,1577071085,False,MS4wLjABAAAAlTL9jQMe_Ri1nGabp06LdqfClCdd6YoQJYnangL-AMgNpKYBrZusy65XQuqB9SQJ,0,False,0,0,0,False
5000000001355149519,05/04/21,I'm Just a Kid,Simple Plan,False,30,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",0,3700000,6764091620830053381,simpleplan,Simple Plan,1576858811,True,MS4wLjABAAAAeFzwZ9IMb-op3t-ZVrGkWBbD-280kN-DReujQj4MXlxhUPFunJeAccTL9iCRWauX,0,False,0,0,0,False
6847581036629460993,05/04/21,Send Me on My Way,Vibe Street,False,60,Vibin' on Em (The Remix)- EP,0,561600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6947428005501668101,05/04/21,San Andreas Theme Song,Young Maylay,False,8,San Andreas Original Mixtape,0,779800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6737391582615439361,05/04/21,Night Trouble,Petit Biscuit,False,60,Night Trouble,0,76200,6571682086922584069,petitbiscuit,Petit Biscuit,1554235390,True,MS4wLjABAAAADxpBoEVayvc34YlgYAZKoJEmlXWo5Zn_TxcCj_4-VB6A-6IMTVsdBzwYGOoSVODI,0,False,0,0,0,False
243601589201035264,05/04/21,Straw-Buh-Buh-Buh-Buh-Berry Shortcake,Strawberry Shortcake,False,30,"Berry, Merry Christmas",0,16300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6940871396524312577,05/04/21,Starstruck,Olly Alexander,False,25,Starstruck,0,83100,6802615574738289669,ollyalexander,Olly Alexander,1583829734,True,MS4wLjABAAAAYumpJuJBDBDx-bTSKzF7Mt7_453xzYbj64kNRXnhP9EoRWxeRouiiymKrFOvERqP,0,False,0,0,0,False
6790134598555666434,05/04/21,RAMPAGE,GRAVEDGR,False,60,6 FEET UNDER,0,210500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6669854674113317638,05/04/21,BREAKFAST CHALLENGE,spence,False,48,BREAKFAST CHALLENGE,0,5400000,6615180516264427526,spence,spence,1540495721,True,MS4wLjABAAAAAssioYrOY9ciXQdgAOmYKxH3vFTlQFp2qK_fesxuuzpwzWChYVIVfyxOcHb-tJD-,0,False,0,0,0,False
6937732507425048578,05/04/21,All To Me,Giveon,False,30,When It's All Said And Done... Take Time,0,2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6819669674922362881,05/04/21,I'm So Hungry,Karter Zaher,False,60,I'm So Hungry,0,218200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6779232045043698438,05/04/21,Bad Guy X Bury a Friend X Walls Could Talk,rapidsongs ,False,15,,0,352300,101389484209885184,rapidsongs,rapidsongs ,1464544652,False,MS4wLjABAAAAy6WWiqlfWRP_UP1dhq1Q9jPZ_-LLoGOlKuIWG7uGrlDnz_HPlEFVhuBtkF6_jA1E,0,False,0,0,0,False
6826096341966456833,05/04/21,Buss It,Erica Banks,False,60,Buss It,0,5700000,6811305929884451845,realericabanks,Erica Banks,1585881152,True,MS4wLjABAAAAfGjiWnOvqsWJBhxEl1637jHe2W55x4FsWxjvyWHeOPv7Uw59qUJope_0hiHvlrRe,0,False,0,0,0,False
224254646075260928,05/04/21,Low (feat. T-Pain),T-Pain,False,30,Mail on Sunday,0,142200,231611294947262464,tpain,T-Pain,1495591991,True,MS4wLjABAAAAlNclKcL3ZfH2YxwFO6YQ11HfdAE8S-IDaKezjskeHdjRPW1tEKT6a9rJ_0P7pTdf,0,False,0,0,0,False
6946640555162077957,05/04/21,sonido original,Angela Gavino,False,9,,0,1727,6781060187430355973,angelagavino,Angela Gavino,1581833490,False,MS4wLjABAAAA0JE7Q1jbjqgnvP4rg48c3LH67wfjBe-yaS0KrBX2m3LcSFSOpyuE3TxtUx62JrOr,0,False,0,0,0,False
6956246752337267462,05/04/21,sonido original,Jhoan Roa,False,12,,0,994,6781782177510196229,jhoan.roa,Jhoan Roa,1578978143,False,MS4wLjABAAAAts9p46OCq6cssw4MUBjN1K2_081KUN7nTJ6NC3nACFtGVKgk52jXtZrD2fnpMr4Q,0,False,0,0,0,False
6806086140819425281,05/04/21,Control,Zoe Wees,False,30,Control,0,86700,6645254536401567750,zoeweesofficial,Zoe Wees,1572020937,True,MS4wLjABAAAA1uDaUpAZ5tGpIc9n5KeCL509qsr4WMey3NXGLIqo4fiBg0Kz7Qj_EHgY07EY1JZ8,0,False,0,0,0,False
6761759820828641281,05/04/21,Love Is Gone (feat. Dylan Matthew) (Acoustic),"SLANDER, Dylan Matthew",False,30,Love Is Gone (Acoustic),0,468900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936143790793296642,05/04/21,оригинальный звук,l'm God,False,14,,0,73900,6557238859020304390,_loki.edits,l'm God,1526739148,False,MS4wLjABAAAA7VAkM8FXnMBSkmwa4LRO9SE70fhs_DfYXJ1b6Sn6XEbvKIZsoyyhHXmaV-tbSOEm,0,False,0,0,0,False
6920415959060580354,05/04/21,Away,Ayra Starr,False,60,Ayra Starr,0,56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6608565900989696774,05/04/21,Cotton Eyed Joe,The Hit Crew,False,14,Ultimate Dance Party Favorites,0,410800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6905484726061091585,05/04/21,dead man walking,favsoundds ,False,28,,0,332400,6556903714136899590,favsoundds,favsoundds ,1535395477,True,MS4wLjABAAAAlX7jPnNJMoU0Bl7tp-P_khZSqUOMkuq0Z3JGWhCm5Xk8PX7_QsChNUnpIvSLyk6k,0,False,0,0,0,False
6867641385273527046,05/04/21,it was gay,annie,False,8,,0,40400,6754529298902123525,achilleshateaccount,annie,1572637585,False,MS4wLjABAAAAtP-8uuWxPulLDwBWxWigmFnGLuVkIeFPYwn4vSMoNYejo-3u4EreoRREROPG_D_b,0,False,0,0,0,False
6952384556943166213,05/04/21,freaks by surf curse,te amo <3,False,10,,0,60000,6917100253968991238,glowstonc,te amo <3,1610513071,False,MS4wLjABAAAADvQ2RvhxtslQQgx7FGM7RbWx-BOTanDLNwGYiyvOIvMu8Cm1QZDujYu1f1Eqq6lu,0,False,0,0,0,False
6889366517616674817,05/04/21,Tierra Mexicana - Instrumental,Banda Tierra Mexicana,False,60,Tierra Mexicana - Instrumental,0,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6586947002464996102,05/04/21,Oh No,Kreepa,False,166,Cold As Ice,0,14700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936880989784345346,05/04/21,Leave The Door Open,Bruno Mars,False,24,Leave The Door Open,0,1300000,159398380291555328,brunomars,Bruno Mars,1478346261,True,MS4wLjABAAAA06euMtqRvuACJv5KhDdrE3qY5de2t6uDGKt3j0xe5bzqoPk-x1IFhG8gxHAfaxmH,0,False,0,0,0,False
6927137162395749122,05/04/21,Heartbreak Anniversary,GIVĒON,False,35,Heartbreak Anniversary,0,2400000,6878506713541133318,giveon,GIVĒON,1601527256,True,MS4wLjABAAAA7QwKV5tIeRog_OkF2iVZubxetjXJK22mYyBUUAHwAtAUH3Ihe7LM8AWW7Hc7pXrv,0,False,0,0,0,False
6942932967341705990,05/04/21,Huijiii,Claudio Rodriguez,False,8,,0,136800,6876622504631714821,donzoiloyelviejoluis,Claudio Rodriguez,1601059823,False,MS4wLjABAAAAJpbKY59RKJdDZ7W6HP_RqPIeP57W2QfLvUzQk51jK_ifO9b8dAOFmwdcScktkU7G,0,False,0,0,0,False
